Category;EXXXXX;Equities;Financial instruments representing an ownership interest in an entity or pool of assets.
AttributeValue;HTMXXX;M;Others (miscellaneous);
Attribute;SecondAttribute;Option style and type;;
AttributeValue;HTXAXX;A;European-Call [an option on a contract which allows its holder (buyer) to exercise the right to buy specified assets (interest rates product) at a fixed price only on the expiration date of the call];
AttributeValue;HTXBXX;B;American-Call [an option on a contract which allows its holder (buyer) to exercise the right to buy specified assets (interest rates product) at a fixed price at any time during the term of the call option, up to and including the expiration date of the call];
AttributeValue;HTXCXX;C;Bermudan-Call [an option on a contract which allows its holder (buyer) to exercise the right to buy specified assets (interest rates product) at a fixed price on a number of specific dates within the exercise period of the call];
AttributeValue;HTXDXX;D;European-Put [an option on a contract which allows its holder (buyer) to exercise the right to sell specified assets (interest rates product) at a fixed price only on the expiration date of the put];
AttributeValue;HTXEXX;E;American-Put [an option on a contract which allows its holder (buyer) to exercise the right to sell specified assets (interest rates product) at a fixed price at any time during the term of the put option, up to and including the expiration date of the put];
AttributeValue;HTXFXX;F;Bermudan-Put [an option on a contract which allows its holder (buyer) to exercise the right to sell specified assets (interest rates product) at a fixed price on a number of specific dates within the exercise period of the put];
AttributeValue;HTXGXX;G;"European-Chooser [an option on a contract which allows its holder (buyer) to exercise the right to buy (call) or sell (put) specified assets (interest rates product) at a fixed price, only on the contract's expiration date; the buyer does not have to decide whether the contract will be a put or a call until an agreed future date, prior to expiration]";
AttributeValue;HTXHXX;H;"American-Chooser [an option on a contract which allows its holder (buyer) to exercise the right to buy (call) or sell (put) specified assets (interest rates product) at a fixed price at any time during the term of the contract, up to and including the expiration date of the call or put; the buyer does not have to decide whether the contract will be a put or a call until an agreed future date, prior to expiration]";
AttributeValue;HTXIXX;I;"Bermudan-Chooser [an option on a contract which allows its holder (buyer) to exercise the right to buy (call) or sell (put) specified assets (interest rates product) at a fixed price on a number of specific dates within the exercise period of the contract; the buyer does not have to decide whether the contract will be a put or a call until an agreed future date, prior to expiration]";
Attribute;ThirdAttribute;Valuation method or trigger;;
AttributeValue;HTXXVX;V;Vanilla (an option for which all terms are standardized);
AttributeValue;HTXXAX;A;"Asian (an option where either the strike price or the settlement price is the average level of an underlying instrument over a predetermined period; the averaging can be either a geometric or arithmetic average)";
AttributeValue;HTXXDX;D;"Digital (Binary) (an option that has a pre-determined payout if the option is in-the-money and the payoff condition is satisfied; also referred to as a “binary option” or an “all-or-nothing option”)";
AttributeValue;HTXXBX;B;"Barrier (an option whose final exercise depends upon the path taken by the price of an underlying instrument; for a “knock-out” barrier option, the option is cancelled if the underlying price crosses a predetermined barrier level; for a “knock-in” barrier option, the option becomes available-for-exercise if the underlying price crosses a predetermined barrier level)";
AttributeValue;HTXXGX;G;"Digital barrier (a digital option embedded with a barrier option; there are different variations of this type of option; as an example, a down-and-out digital call option will pay a fixed payoff, or the underlying, at any time before maturity that the underlying price is equal to or greater than the barrier level; it will pay zero if the underlying price is less than the barrier level)";
AttributeValue;HTXXLX;L;"Lookback (an option that minimizes the uncertainties related to the timing of market entry; there are two types of lookback options: fixed and floating; the fixed option strike is determined at purchase, and the floating option strike is determined at maturity)";
AttributeValue;HTXXPX;P;Other path dependent (an option on a contract whose payoff is directly related to the price pattern the underlying asset follows during the life of the contract);
AttributeValue;HTXXMX;M;Others (miscellaneous);
Attribute;FourthAttribute;Delivery;indicates whether the payment currency for each leg of the swap is the same as the reference currency for that leg;
AttributeValue;HTXXXC;C;Cash (the discharge of an obligation by payment or receipt of a net cash amount instead of payment or delivery by both parties);
AttributeValue;HTXXXD;D;Deliverable (the settlement, i.e. payment, currency amounts are paid in the respective reference currency for each leg of the swap for which the payments are being made);
AttributeValue;HTXXXP;P;Physical [the meeting of a settlement obligation under a derivative contract through the receipt or delivery of the actual underlying instrument(s) instead of through cash settlement];
AttributeValue;HTXXXN;N;Non-deliverable (the settlement, i.e. payment, currency amounts are paid in a single currency that either reflects the currency of either leg of the swap or in a currency other than the respective reference currency for each leg of the swap for which the payments are being made);
Group;HEXXXX;Equity;"An option where the underlying asset is an equity-linked instrument (i.e. shares, depository receipts, ETFs, indices, baskets).";
Attribute;FirstAttribute;Underlying assets;;
AttributeValue;HESXXX;S;Single stock (an option on a contract which gives the hold- er the right to buy, and to sell, single-named equity);
AttributeValue;HEIXXX;I;Index (an option on a contract which gives the holder the right to buy, and to sell, specified equity indices);
AttributeValue;HEBXXX;B;Basket (an option on a contract that may be exercised based on the weighted average performance of several underlying equities instruments);
AttributeValue;HEOXXX;O;Options;
AttributeValue;HERXXX;R;Forwards;
AttributeValue;HEFXXX;F;Futures;
AttributeValue;HEMXXX;M;Others (miscellaneous);
Attribute;SecondAttribute;Option style and type;;
AttributeValue;HEXAXX;A;European-Call [an option on a contract which allows its holder (buyer) to exercise the right to buy specified assets (interest rates product) at a fixed price only on the expiration date of the call];
AttributeValue;HEXBXX;B;American-Call [an option on a contract which allows its holder (buyer) to exercise the right to buy specified assets (interest rates product) at a fixed price at any time during the term of the call option, up to and including the expiration date of the call];
AttributeValue;HEXCXX;C;Bermudan-Call [an option on a contract which allows its holder (buyer) to exercise the right to buy specified assets (interest rates product) at a fixed price on a number of specific dates within the exercise period of the call];
AttributeValue;HEXDXX;D;European-Put [an option on a contract which allows its holder (buyer) to exercise the right to sell specified assets (interest rates product) at a fixed price only on the expiration date of the put];
AttributeValue;HEXEXX;E;American-Put [an option on a contract which allows its holder (buyer) to exercise the right to sell specified assets (interest rates product) at a fixed price at any time during the term of the put option, up to and including the expiration date of the put];
AttributeValue;HEXFXX;F;Bermudan-Put [an option on a contract which allows its holder (buyer) to exercise the right to sell specified assets (interest rates product) at a fixed price on a number of specific dates within the exercise period of the put];
